Relative Time;m/z 35.00 ch3;37/21
0.756;17.18186939;7.452861002
1.512;16.83095995;7.021604573
2.268;18.3533648;7.000504645
3.025;16.70051726;7.148357694
3.781;15.58932463;6.960722817
4.537;16.70357266;7.238360208
5.294;16.86260799;7.109989976
6.05;15.9512495;7.007868187
6.806;16.74087055;7.402014394
7.562;16.88078869;7.047252754
8.318;15.54123163;6.783335333
9.075;15.37349034;6.738146405
9.831;15.87040977;6.742380923
10.587;15.28663456;6.797443314
11.343;17.57661098;7.145491017
12.1;15.30743111;7.291304863
12.856;15.42384077;6.971793766
13.612;14.28757979;6.907245075
14.369;15.97937855;7.181805488
15.125;16.90687905;7.699272235
15.882;16.29150597;7.190729315
16.639;15.7281734;7.089513085
17.395;15.88298149;7.187682947
18.151;15.99878425;6.617475204
18.908;16.32192866;7.234373077
19.665;16.95553118;6.839263841
20.421;15.5971159;7.274981943
21.177;16.33490943;6.980639802
21.934;15.53170461;7.00002619
22.69;15.88130253;7.200601387
23.446;16.97899827;7.281584125
24.072;15.82598426;7.626101414
24.959;15.81105033;7.313965801
25.715;15.44950162;7.201734146
26.472;16.55645512;7.772544098
27.228;16.96689914;7.613218793
27.985;15.32661986;7.082194841
28.741;15.51050196;6.687494966
29.497;15.02412471;7.477638403
30.256;15.52371323;7.132140762
31.012;15.70780166;6.837278245
31.769;16.69579818;6.999558973
32.525;14.74077209;7.000027812
33.282;15.35111483;7.074668388
34.038;15.10335878;7.261821164
34.794;16.14146467;7.358609593
35.551;15.82615125;7.03469797
36.307;16.54171456;7.14355933
37.063;14.29976707;7.018377197
37.82;16.13157517;7.365385638
38.576;15.50605733;6.99728543
39.332;13.77527974;7.119067106
40.088;14.71160363;6.925971768
40.845;14.77135577;6.584736346
41.601;15.25176417;6.75941502
42.357;17.0823787;7.102032563
43.114;15.36026088;7.239410542
43.87;14.21955439;6.947109305
44.626;16.00567561;7.039805619
45.383;15.83960147;6.761443717
46.139;14.22190625;7.391133479
46.895;15.00706339;7.17322692
47.652;15.09710864;7.053433846
48.408;14.3286244;6.864202727
49.164;14.03197402;6.930262921
49.921;14.59602532;6.84383576
50.677;15.85452993;7.250825281
51.433;13.88803666;7.339085501
52.19;16.10639246;6.872991142
52.946;15.42486853;7.149432633
53.702;17.24295612;7.004288021
54.459;16.06699814;6.968604547
55.215;16.7143799;7.0779192
55.971;16.23745817;6.932515289
56.727;18.480466;7.142884429
57.484;18.04724581;7.313395248
58.24;20.07912991;7.352834547
58.997;21.40964512;6.961637926
59.753;22.30402346;6.83856077
60.509;20.17333745;7.34499609
61.265;24.15388727;7.179041347
62.021;24.07002197;7.024108116
62.778;28.99155164;7.13551958
63.534;28.81209699;7.007261208
64.29;31.31658896;7.757350304
65.047;29.90021221;6.64175172
65.803;38.60610059;7.572067139
66.559;40.40406056;7.268901808
67.315;42.26424092;7.30421771
68.072;43.5910147;6.85078005
68.828;48.88492049;7.063411468
69.584;47.9571863;7.502324346
70.21;48.77679274;6.94618823
71.097;56.79975863;6.918551325
71.854;59.84957181;7.150973389
72.61;61.19165134;7.302205623
73.366;65.1172461;7.308258942
74.123;63.00870257;7.302271565
74.879;71.66752502;7.231005247
75.636;73.80052455;7.251937961
76.392;83.67701034;7.770432213
77.148;77.44708504;6.910999782
77.905;88.07169123;6.790430581
78.662;91.1723045;7.534344619
79.419;90.57375878;7.46744181
80.175;94.92682956;6.863931059
80.932;97.31174285;7.208477498
81.688;98.728455;7.174938929
82.444;100.702747;7.109011223
83.201;105.6257874;7.012835911
83.957;110.1688212;7.276561126
84.714;108.3879657;7.189243053
85.47;112.9509877;7.143527567
86.226;111.4076432;7.389965369
86.983;119.7586125;7.36387373
87.739;118.1073999;7.414616868
88.495;124.1921341;7.541090045
89.252;118.6477037;7.204717108
90.01;129.5714823;7.295713176
90.766;130.2110034;7.103976555
91.523;125.0391503;7.238800813
92.279;143.337602;7.358432705
93.035;141.2363855;7.769985029
93.792;141.6810981;7.088520391
94.549;149.2767909;7.365953604
95.305;144.6527023;7.461217584
96.061;144.9776399;7.175912251
96.818;149.9828592;7.086864689
97.575;156.3046585;7.599096478
98.331;152.7425395;7.30878242
99.087;154.3649605;7.190268261
99.845;159.3719621;7.286597837
100.601;156.2980397;7.092322058
101.359;159.7844571;7.450192995
102.115;160.072546;7.354188477
102.871;162.7940935;7.201655678
103.627;162.5606582;7.171430276
104.384;172.0054344;7.060992958
105.14;180.101074;7.715671792
105.896;169.8407588;6.922764389
106.653;178.5626989;7.819474766
107.409;182.9282706;7.657310541
108.165;181.351893;7.722436948
108.922;181.5063265;7.287261493
