Relative Time;m/z 35.00 ch3;37/21
0.756;0.835892287;27.00228495
1.512;0.649237763;26.59556392
2.268;0.63777882;26.27573076
3.024;0.565763193;26.46049188
3.781;0.462157423;27.28049757
4.537;0.741114425;25.85920651
5.293;0.380629367;27.11019132
6.049;0.627395035;25.56374429
6.806;0.299265455;26.59713921
7.563;0.520944806;26.06932911
8.32;0.47270624;25.6265838
9.077;0.377322933;27.1825457
9.834;0.786533458;26.14447977
10.59;0.400982687;26.09745758
11.346;0.45204236;27.35766014
12.103;0.379995861;26.8470244
12.859;0.371205304;25.73061286
13.615;0.373775816;26.3544217
14.372;0.326359159;25.55873294
15.129;0.294166196;26.69370632
15.885;0.601220787;26.5925065
16.641;0.73219659;25.95667736
17.398;0.545005941;26.0941575
18.154;0.520072504;26.79716247
18.91;0.484908199;26.25112203
19.666;0.2820307;25.36330088
20.423;0.709851864;25.97219326
21.179;0.539793789;25.63868096
21.935;0.590487454;26.11526114
22.691;0.550695636;25.75986308
23.448;0.490923066;26.85202664
24.204;0.47614648;25.90534388
24.96;0.552323467;25.6240802
25.716;0.702107939;26.68296002
26.473;0.291371156;26.22613064
27.229;0.366686865;25.59992452
27.985;0.415051702;26.27858491
28.611;0.594880832;26.29638855
29.499;0.69480108;25.73326374
30.255;0.855414463;25.0332537
31.011;0.526934923;26.19943589
31.767;0.935807051;26.30281273
32.524;0.574096838;25.30829489
33.28;0.549384924;26.52481064
34.036;0.591510388;25.83579372
34.793;0.768471868;25.91484796
35.549;0.525656959;26.18332805
36.305;0.440076252;26.15980151
37.062;0.55518427;25.96029567
37.818;0.481360196;26.30540824
38.575;0.50269598;25.96388949
39.331;0.649454047;25.72789695
40.087;0.370407867;27.0615519
40.844;0.266108856;27.17156824
41.6;0.789777033;26.69008646
42.356;0.656084952;25.10236354
43.113;0.704058986;26.79569217
43.869;0.434792184;26.28784388
44.625;0.512386836;26.4023323
45.381;0.55675549;26.60563343
46.137;0.545892411;25.80782238
46.894;0.518795414;26.41326828
47.65;0.647069263;27.54695899
48.407;0.323776715;25.331577
49.164;0.478418334;26.46330676
49.92;0.477290928;26.29236545
50.676;0.367029788;25.84913883
51.433;0.295281218;25.78127644
52.189;0.677216614;26.94602833
52.945;0.354023653;25.52241475
53.705;0.489712056;26.73833251
54.461;0.4935538;25.06963808
55.217;0.512545503;26.68550839
55.974;0.839986621;26.2816768
56.731;0.483316163;26.43565579
57.488;0.554494362;27.00494949
58.244;0.296002094;26.16514133
59;0.623016427;27.46921543
59.757;0.536768183;25.93124207
60.513;0.328036514;25.49428879
61.269;0.447620588;25.86947969
62.025;0.501624219;25.08276376
62.782;0.362462428;25.76779054
63.538;0.365544806;26.64140011
64.294;0.94587493;25.52997382
65.051;0.565045709;27.34197427
65.807;0.331089953;26.52007788
66.563;0.571181169;27.33649287
67.32;0.648618452;25.79558803
68.076;0.457134774;27.32203879
68.833;0.713955716;26.46607218
69.589;0.144469791;26.14113315
70.345;0.404848025;26.04041
71.102;0.36715106;26.72041856
71.858;0.573750604;25.85672361
72.615;0.331779684;26.30207298
73.371;0.44870138;26.63668338
74.127;0.249392071;25.39610343
74.885;0.474014012;26.19552491
75.642;0.640976419;26.0469646
76.398;0.747529138;26.96197987
77.154;0.682403057;26.14604702
77.91;0.591481619;26.02359862
78.667;0.404322507;26.08651999
79.423;0.823335162;26.75541541
80.179;0.554503266;26.67352268
80.936;0.510307371;25.96732677
81.692;0.4411498;26.59174421
82.448;0.623124529;25.96147316
83.204;0.471961178;25.76671461
83.961;0.395943617;25.37017229
