H2S concentration in g/m^3,DMS concentration in g/m^3,mm concentration in g/m^3,Time in h
3.3831572318201088e-06,2.774156754352339e-07,4.171211903494357e-07,0.00048638888888888885
6.747849438197669e-06,5.570710742706973e-07,9.772015834513107e-07,0.0009736111111111111
7.050290797569934e-06,1.288198421721891e-06,5.739043728218248e-07,0.0014608333333333335
6.909716900052241e-06,5.685076996614447e-07,2.849338569415515e-07,0.0019475
2.0924833777829953e-05,8.548963957417439e-07,2.856456650812374e-07,0.0024344444444444444
2.905893183066311e-05,1.02617138737446e-06,5.877776091661793e-07,0.0029213888888888887
1.3441599587146242e-05,8.259363202414186e-07,2.7597225822048367e-07,0.003408333333333333
1.0051137526295726e-05,8.282642025314308e-07,2.767456257740563e-07,0.003895
1.0561580943735132e-05,8.630749267950076e-07,8.651376607981381e-07,0.0043816666666666665
7.056695617491032e-06,1.5889200930199263e-06,4.343790011429817e-07,0.004868333333333333
3.5725525599635456e-06,1.021811670967285e-06,5.852909858786319e-07,0.005355277777777777
1.0533410998361311e-05,4.313606454766611e-07,2.8825880337706917e-07,0.005841944444444444
7.0656821027165675e-06,1.1574666964347765e-06,4.3508703732957974e-07,0.006328888888888888
1.8246528943983104e-05,8.766055216618458e-07,1.1716008379549825e-06,0.006815555555555556
6.9646272317982095e-06,7.045772634344036e-07,2.825045975554301e-07,0.007302500000000001
2.335873696080006e-05,8.167076148706623e-07,6.822137499393673e-07,0.007789444444444445
7.0068340824798375e-06,1.0023058848674391e-06,2.8705652964304855e-07,0.00827611111111111
3.57783319802201e-06,4.360507793189552e-07,4.3708827828530675e-07,0.008762777777777777
0.0,1.006073370970536e-06,2.8813754477609306e-07,0.009249722222222222
3.4415239036241934e-06,4.1978776988660266e-07,5.610546066668547e-07,0.009736666666666666
6.943544969280788e-06,1.428322238503615e-06,1.0022124563633816e-06,0.010223333333333334
6.964420000987174e-06,9.86418719503377e-07,5.650155348581685e-07,0.010709999999999999
6.32303304464368e-06,1.73992871427362e-06,5.366418196968079e-07,0.011196944444444443
3.563156416275351e-06,5.725046728574368e-07,8.608040190263447e-07,0.011683888888888888
0.0,4.499065177205642e-07,3.0065735575140116e-07,0.012170833333333332
7.155815550751056e-06,1.0182970033923663e-06,1.458198929349698e-07,0.0126575
0.0,6.041093526859831e-07,4.541653057453064e-07,0.013144166666666667
1.3752449283998986e-05,1.3921984885177057e-06,8.373141336482076e-07,0.013630833333333333
2.063864370914017e-05,1.121250502108938e-06,4.2147529204836956e-07,0.014117777777777778
1.7099069823065932e-05,6.954421611192289e-07,6.971057183380744e-07,0.014604444444444444
9.882672027800856e-06,4.0593736796211325e-07,5.425423667465252e-07,0.015091111111111112
6.475533990533069e-06,6.812570712556928e-07,6.82883961242319e-07,0.015578055555555557
6.7807948886707455e-06,6.896724498303366e-07,2.7652537468763146e-07,0.016064722222222223
3.5080786699681345e-06,4.308185723027542e-07,4.318500058337577e-07,0.01655138888888889
6.895347857923762e-06,1.267390619402491e-06,7.057925521165597e-07,0.017038055555555556
0.0,6.960044953871281e-07,1.395337265195944e-07,0.017525000000000002
1.768616372811385e-05,5.744177628884762e-07,5.757921213947009e-07,0.018011944444444445
6.929436193817867e-06,4.2120438596036025e-07,4.222125670606787e-07,0.01849861111111111
3.5335218106829536e-06,9.97365637256037e-07,2.856447653881619e-07,0.018985555555555554
6.866702077230334e-06,5.666327608014346e-07,5.67983820843016e-07,0.01947222222222222
1.0452996063604421e-05,5.643142203621964e-07,4.24247578858223e-07,0.019959166666666667
3.4310744499680253e-06,4.230831204239637e-07,2.8273033003342945e-07,0.020445833333333333
0.0,1.0381278699360447e-06,4.4597603553218534e-07,0.02093277777777778
3.5552154702837423e-06,4.337064824206474e-07,7.245689006095205e-07,0.021419444444444446
3.652250475639515e-06,1.4751003848391557e-06,1.4786341335887488e-07,0.02190611111111111
1.4433713094998156e-05,8.777148000039449e-07,1.4663483782368984e-07,0.022393055555555555
2.1607658367884395e-05,4.399216121675528e-07,7.349522132303817e-07,0.022879999999999998
3.832124770280803e-06,6.067201387057375e-07,1.5204379793946255e-07,0.023366666666666668
6.952857757395994e-06,7.121319633174741e-07,5.710663400913231e-07,0.023853333333333334
2.0355263981923358e-05,1.1070030429438037e-06,1.3870540062936678e-07,0.024340277777777777
0.0,1.4682005238061243e-06,8.027521371033066e-07,0.024826944444444443
3.453133782893425e-06,7.082754502712319e-07,1.4199387345511335e-07,0.02531388888888889
3.562660340782772e-06,2.8614800838453075e-07,5.736620845896921e-07,0.025800555555555556
1.799945156056185e-05,5.775429279247896e-07,4.3419536717692616e-07,0.026287500000000002
6.204400469746901e-06,1.0381180018305336e-06,6.503760567335751e-07,0.02677416666666667
2.0804349754740177e-05,1.6739135741588876e-06,8.38955432310805e-07,0.02726138888888889
7.03970358371871e-06,3.0295714815409194e-06,2.169147533289241e-06,0.027748055555555557
0.0,9.70307198197899e-06,4.457869359723902e-06,0.028235
7.235546973728488e-06,2.0273024011192764e-05,1.0672412010298829e-05,0.028721666666666666
1.4001276937362249e-05,2.662090391347731e-05,1.740918087155342e-05,0.02920861111111111
0.0,4.2572391043374336e-05,2.309757351246116e-05,0.02969527777777778
0.0,5.6982653897082366e-05,3.0756296499692936e-05,0.030181944444444445
1.4111219773449494e-05,6.86435877599255e-05,4.1427716249648724e-05,0.030668611111111112
1.7545792482636756e-05,7.949012858692358e-05,5.3215588182389775e-05,0.031155555555555554
7.0612965669667256e-06,9.255824477865159e-05,6.526276972389725e-05,0.03164277777777778
7.0981218101891975e-06,0.000106497928216419,6.194816832048362e-05,0.03212972222222222
3.520084125575662e-06,0.0001115762060671212,7.13799912120759e-05,0.03261638888888889
1.1390802581115857e-05,0.0001251347072863813,8.031325900494552e-05,0.03310305555555556
1.3633711897638295e-05,0.0001305917084164284,8.605411263901946e-05,0.03359
1.342113402441796e-05,0.0001290039986976228,8.620782443299107e-05,0.034076666666666665
1.1084252905748672e-05,0.00014738805957886724,8.923183878867654e-05,0.034563333333333335
3.517344166943805e-06,0.0001488343319996063,9.363769892870106e-05,0.03505027777777778
1.3567496564358455e-05,0.00014254025534363794,8.966442222976183e-05,0.03553694444444445
7.277592177659647e-06,0.00016529291710507218,0.00010766807858011782,0.03602416666666667
2.5868268968307113e-05,0.0001697447367747328,0.00010250407947262635,0.03651111111111111
1.664637042610291e-05,0.00015849462707212276,0.00010249026787688688,0.03699777777777778
1.3505960500696047e-05,0.00016479143059628371,0.00010456197541165213,0.03748444444444444
1.0252976867806585e-05,0.00016527800376350414,0.00010809096059489793,0.03797111111111111
1.119424607827011e-05,0.00018078847977872698,0.00011823289575732732,0.03845805555555556
6.625887614908942e-06,0.0001715479554526553,0.00010579942842503442,0.038945
3.6457699803561137e-06,0.00017758816728521856,0.00011828411782647519,0.03943166666666667
2.0241204433198544e-05,0.00017371028057493816,0.00011166160379240902,0.03991833333333333
1.6873367152173304e-05,0.00016894362773613617,0.00011686809114395475,0.040405277777777776
1.4207069795234618e-05,0.00018330012950823772,0.00011487227264288493,0.04089222222222222
2.3120731467804135e-05,0.00018138317545024021,0.00011296961948293738,0.04137888888888889
1.4246525040588318e-05,0.00019192411820792042,0.00011425000866982065,0.04186611111111111
1.8066705473163922e-05,0.00018702221562442333,0.00011814333320363669,0.04235277777777778
2.018954592147787e-05,0.00018329986932940997,0.00011170840407056344,0.042839722222222223
1.367921277369646e-05,0.00018407281610406393,0.00012009322512668321,0.043326388888888887
2.112495820111985e-05,0.00018503219668111425,0.00011046865761548529,0.043813333333333336
1.6062220879575413e-05,0.00018245060854136933,0.00011151962355706221,0.0443
6.792617082765804e-06,0.0001824999004715822,0.00012441900438581616,0.04478694444444445
2.0879154699813928e-05,0.0002008005241896651,0.0001232098661821174,0.04527361111111111
1.0856340757434992e-05,0.00020117566417323336,0.00012828710909727122,0.045760277777777775
1.876371945201816e-05,0.00021020028394423272,0.00014051922310612215,0.046247222222222224
2.9975290504026007e-05,0.0001951378972310293,0.00011848592788257732,0.04673416666666667
0.0,0.00019120747858794883,0.00012745300287593446,0.04722083333333334
7.257830777128833e-06,0.00020422758872464311,0.00012469865992740747,0.04770777777777777
1.6840337711187016e-05,0.00019600410613976858,0.00012692627794052484,0.04819472222222222
1.755906147912263e-05,0.00020728235432712353,0.00013113040739744247,0.048681666666666665
1.3756316497868398e-05,0.00019636263178855789,0.0001244695046180717,0.049168611111111114
1.027472358342417e-05,0.00019997655221654076,0.00012329166465902553,0.04965555555555555
3.7875807656974088e-06,0.0002092678295870933,0.00013346191808405445,0.05014222222222222
1.0449315842916014e-05,0.0002057148581996859,0.00012598380100782892,0.05062888888888889
7.188356590024611e-06,0.00020950037743096257,0.0001337423284848408,0.05111555555555555
7.017854449793023e-06,0.0002079248035824442,0.00012909088583948103,0.05160277777777778
7.218838001967607e-06,0.00021143738987236465,0.00013425472680249825,0.052089444444444445
1.0906629241273863e-05,0.00021334327703965948,0.0001378946582524616,0.05257611111111111
1.106257175010822e-05,0.00021235581994942494,0.00013465681257774192,0.05306277777777778
6.493718986444448e-06,0.00020334575975208187,0.00012066308815508575,0.05354972222222222
2.0507989533726096e-05,0.00021446098585187662,0.00013035046091948636,0.05403638888888889
1.7659949749876694e-05,0.00020515076272992525,0.0001301779789294981,0.05452333333333333
6.918046138012198e-06,0.00020795737147863403,0.00013221495987569018,0.05501027777777778
2.3136643953227615e-05,0.00020546788489781656,0.00013357273310565131,0.05549694444444444
1.7927138855360484e-05,0.0002093670502498953,0.00013691382320323527,0.05598361111111111
3.8733472733408525e-06,0.00023032608053016602,0.00013813010937336096,0.05647055555555556
7.139226425073029e-06,0.00021742341994763215,0.00013013255244058151,0.05695722222222222
1.8823475758763016e-05,0.0002162163746434701,0.00014168142338319648,0.05744444444444445
1.3170161747610988e-05,0.0002131404542433755,0.00013795620150130786,0.05793111111111111
1.3018828253188918e-05,0.00020064970437548357,0.00012974353927423658,0.05841777777777778
3.3706770813816586e-06,0.0002133587977496329,0.00012679381810180843,0.058905
0.0,0.00022645448818552882,0.00013554335185210416,0.05939166666666667
2.036640676365352e-05,0.00021502480599176638,0.00013500785380127982,0.059878611111111105
1.0091479428116253e-05,0.00021699512247833953,0.00013380179159516105,0.060365555555555554
9.827102916383143e-06,0.0002105762346221171,0.00013573265372331095,0.0608525
9.951607844149675e-06,0.0001962915271376675,0.00013453984108832196,0.06133916666666667
1.0417042490815534e-05,0.00022073896179534568,0.00013557385541753834,0.061826111111111116
1.374760229189487e-05,0.0002139904635861436,0.00013571682570821258,0.06231305555555555
1.6478661396340863e-05,0.00020771299257825546,0.0001341794899847258,0.06280027777777777
1.8217844174319215e-05,0.00022063464182545643,0.0001445495669520688,0.06328694444444444
1.0463344971200228e-05,0.0002237132374578186,0.00014365678744367085,0.06377361111111111
9.975120727047707e-06,0.00022136924080367874,0.00013884246806198096,0.06426055555555556
1.8321373277896328e-05,0.00022374878447006734,0.00014436999956415937,0.0647475
1.0454757535372544e-05,0.00022297011321955354,0.00014141765634996946,0.06523444444444444
3.2392980705932984e-05,0.00021969141217541678,0.0001521992152441978,0.06572111111111112
1.3960646202186423e-05,0.00021905672540480534,0.00014421067436999095,0.06620777777777778
1.84517130867312e-05,0.00022621884820876474,0.0001490590713247883,0.06669472222222222
2.9482957662428755e-05,0.00022483769805234526,0.00014744052737048976,0.06718166666666667
2.76661643941673e-05,0.00022614100518218288,0.00014496337053822268,0.06766861111111111
1.0182936662436476e-05,0.00020663981481395456,0.000139065726630116,0.06815527777777779
2.0283333521563048e-05,0.0002158196337565554,0.00013564926151685976,0.06864222222222222
6.874726568362524e-06,0.00022263369636731366,0.00014657904969982388,0.06912944444444445
1.2523930570419448e-05,0.0002068620230919547,0.00013519232889062753,0.06961611111111111
1.0455808630246824e-05,0.0002160676634388719,0.00014211583739054601,0.07010305555555556
1.4072593064123956e-05,0.00022573402122610259,0.00015084814286385738,0.07058972222222222
1.6691167685237508e-05,0.00022186061162796474,0.00013863156420097208,0.07107666666666666
1.953076398184893e-05,0.0002193288729787844,0.0001344680697110746,0.07156388888888889
7.021566692322537e-06,0.000227379726708407,0.00014682885349412018,0.07205055555555556
1.0330321875014602e-05,0.00023309518204200487,0.00015055624959970466,0.07253749999999999
7.011365836008468e-06,0.00022621567445013955,0.00014223935283049684,0.07302444444444443
1.4112222598288856e-05,0.00022285198871814258,0.0001465963011798807,0.07351138888888889
1.0178814991492134e-05,0.00022353205542977319,0.00014407187482909345,0.07399833333333333
6.815336011915941e-06,0.00022649965108566646,0.0001430241759928004,0.07448500000000001
2.1423916740960912e-05,0.00023802486698461435,0.00014492810916670257,0.07497194444444444
2.1951819658639797e-05,0.00023000665637493503,0.00014492146698280356,0.07545888888888888
3.5314251326082297e-06,0.00022828825873655653,0.00014892096283824439,0.07594555555555556
2.4601413525733506e-05,0.00022231659407227758,0.0001509743787598058,0.07643222222222222
6.952137258280107e-06,0.00022060268115580542,0.00014079707090313963,0.07691916666666666
1.338174864734897e-05,0.00022168937071958726,0.00013248223873295686,0.07740583333333334
1.703217066233563e-05,0.00023518242155262707,0.0001400032536955097,0.0778925
2.3981635901823538e-05,0.00021775665639013554,0.00014384483259616287,0.07837944444444445
1.8238703345144723e-05,0.00024065152980754079,0.00015029149717937727,0.07886611111111111
1.7735353336705603e-05,0.0002378586872918579,0.00015410635862561457,0.07935305555555555
1.6807061259166512e-05,0.0002171709077405194,0.00013944920208392404,0.07984
6.769850259161108e-06,0.00023076701449627858,0.00014323048489893486,0.08032666666666666
1.437308397817987e-05,0.0002277801485026165,0.00014377626810734557,0.08081333333333333
3.1735856988362362e-06,0.00021004006252132586,0.00014329606405760482,0.08130027777777778
1.0768752185678683e-05,0.0002315862581507565,0.00014789472675896966,0.08178694444444444
2.009607570603077e-05,0.00021971736895823581,0.0001451276954502705,0.08227388888888888
1.1145202982711637e-05,0.00023937319303048965,0.00015981505916906705,0.08276055555555555
1.8337833169504292e-05,0.0002303476091240844,0.00016247233245405814,0.08324722222222222
3.236079079509475e-05,0.00024453861381507763,0.00014721817347473757,0.08373388888888889
1.6831666187823438e-05,0.00023384145345418307,0.00015242106708192305,0.08422083333333333
1.3748457749013337e-05,0.00022890258104129143,0.00014181360476630644,0.08470777777777777
1.038174093187031e-05,0.00022855031030620377,0.00014865914531751848,0.08519444444444445
3.504358629152917e-05,0.00023650455334572892,0.00016035739324623936,0.08568138888888888
2.4840436333450622e-05,0.00023106059100445574,0.0001461450675130214,0.08616805555555555
3.37683279421112e-06,0.00022974973641670294,0.0001446475043783615,0.08665500000000001
9.95172587725579e-06,0.0002310110174411799,0.00014704520726870952,0.08714166666666666
3.171254711352561e-05,0.00023301164808474042,0.00015020094064213798,0.08762861111111112
1.0228077586609901e-05,0.00022209926210108716,0.00015336351058621876,0.08811527777777776
3.254197208855965e-06,0.000220953039503744,0.00014554004766629742,0.08860222222222222
1.009225845274968e-05,0.00022168703892280216,0.00015195545099664124,0.08908916666666666
1.3803223873634005e-05,0.00022966803276239906,0.00015159863555699654,0.0895761111111111
1.609927125384834e-05,0.00022770578569586308,0.00014022339761800675,0.09006305555555555
2.2931195291570273e-05,0.00022075660123939409,0.00015068971677596483,0.09055
2.8935171720044617e-05,0.0002544737127025544,0.00015152699230641656,0.09103666666666667
2.428203168408043e-05,0.00023006885306772667,0.0001470116430780672,0.09152333333333333
7.399513588097955e-06,0.0002445197777007211,0.00016890447338316087,0.09201027777777779
9.898407507064098e-06,0.00023101791997013864,0.00014767101274630547,0.09249694444444444
1.0058431134062883e-05,0.0002235555021678421,0.00014883920502347178,0.0929838888888889
2.2045711212818974e-05,0.00024600908126736924,0.00015805137658391033,0.09347083333333334
1.918428158987911e-05,0.00025385382146248116,0.00016515666337583185,0.09395777777777778
2.0367884792858975e-05,0.00023978112680057506,0.00015540781583880757,0.09444472222222222
2.9609299971937413e-05,0.0002225223437828344,0.00014262320758034986,0.09493138888888888
2.2807307431932634e-05,0.00021932096883776287,0.0001474218268507004,0.09541833333333333
6.5399662749292065e-06,0.00022692574783042806,0.00014262353526613259,0.09590527777777778
1.664334539654557e-05,0.00022576864469053536,0.00015214835411927666,0.09639194444444445
1.778365404531654e-05,0.0002454699412477832,0.00015495023899254304,0.09687861111111111
1.368699722051928e-05,0.00024125303750871302,0.00015843917612967467,0.09736527777777777
2.3419035671027107e-05,0.00022697346607756272,0.00013692216318450846,0.09785194444444445
6.777983247353798e-06,0.00022391601254891297,0.00015075425566963484,0.09833888888888888
1.7195615528568637e-05,0.00023768743628595839,0.00015748299837016607,0.09882583333333333
1.4207363534056068e-05,0.00023594354407689146,0.000159444022671688,0.09931277777777778
1.0401425762730558e-05,0.00023186350730248004,0.00014765945291095312,0.09980027777777778
1.768103159721184e-05,0.00023669805105671298,0.00016160128734732677,0.10028722222222222
1.0363117871907497e-05,0.0002382979466169751,0.00015765157502706657,0.10077416666666666
1.8204755788352137e-05,0.00024013473606160956,0.00015707162425903308,0.10126083333333333
3.5917247156656e-05,0.0002461997339889161,0.00015602449997731858,0.1017475
2.5431866089192037e-05,0.0002576854798032986,0.0001503947698709555,0.10223416666666667
1.99207502982503e-05,0.00022861679622955826,0.00015364747668016762,0.10272111111111111
2.027373662293872e-05,0.00023578941028960842,0.00016756002630628,0.10320777777777777
1.7696084063162072e-05,0.00024707588574754516,0.0001507153330653973,0.10369472222222222
2.774363218394865e-05,0.0002510397494828611,0.00016269720032024212,0.10418138888888889
1.6364284870548945e-05,0.00023495127901970448,0.00014531846054833582,0.10466805555555556
6.883084164754469e-06,0.00023875204418315023,0.00015178525856761132,0.105155
7.0839743545536015e-06,0.00024444469902368444,0.00015726279048946867,0.10564166666666666
1.6958514874224564e-05,0.0002351699422668091,0.00014402703016397166,0.1061288888888889
7.181752068762465e-06,0.00025197792222512566,0.00016238224195605226,0.10661583333333334
1.3803360580606917e-05,0.00023895551598012652,0.0001502602457707668,0.1071025
2.0586416595545623e-05,0.00025773009346964924,0.00015184264928202424,0.10758944444444445
2.219641149602837e-05,0.00024674001550423804,0.0001670861042370557,0.10807611111111111
1.084400873933829e-05,0.00023987569410933185,0.00015285505443805034,0.10856305555555555
0.0,0.00024289470125969973,0.00016080867215326818,0.10905
3.545664969125697e-05,0.0002400011552897247,0.00017049669963047596,0.10953666666666667
2.3830662871385495e-05,0.00024681098878744393,0.00013868394874491384,0.1100238888888889
1.7690600730398973e-05,0.00023228945371937343,0.0001627184805020522,0.11051083333333334
2.253117362896444e-05,0.00021763864914254278,0.0001481876240603559,0.11099777777777778
1.3629583092994769e-05,0.0002281144237987697,0.0001454092865509105,0.11148444444444444
1.0362040142966323e-05,0.0002253264000983246,0.00013689209302629392,0.11197111111111112
2.1454802977394732e-05,0.0002294328452749403,0.00014484024992734022,0.11245805555555555
