H2S concentration in g/m^3,DMS concentration in g/m^3,mm concentration in g/m^3,Time in h
-0.0003653464528876774,0.0003726399350792168,0.00037748243203360827,0.00048666666666666666
-5.2374585165254235e-05,0.000257145149343957,0.0004224978908214964,0.0009736111111111111
0.0,9.542080285723342e-07,1.366403701441238e-07,0.0014602777777777778
1.0536922074289493e-05,1.3891837620852347e-06,1.3925079042370741e-07,0.0019472222222222221
0.0,1.1276852558334597e-06,4.23890015368576e-07,0.002433888888888889
1.3378391742371038e-05,1.191444949423264e-06,0.0,0.0029208333333333334
9.940055936204351e-06,1.1906839470201295e-06,2.6522893999732954e-07,0.003407777777777778
3.396355603238847e-06,1.067753276342331e-06,1.3378797306482215e-07,0.0038944444444444443
3.637929977238389e-06,1.1328860517432766e-06,4.2584783109233314e-07,0.004381388888888889
0.0,1.3364110858785626e-06,4.0188256033650667e-07,0.004868055555555555
6.910901453655827e-06,1.089051611936986e-06,2.7291406204488935e-07,0.0053549999999999995
0.0,9.76772657771822e-07,1.398722133272744e-07,0.005841666666666667
7.2925541895899915e-06,8.520732801794362e-07,1.4235246290642334e-07,0.006328611111111111
7.403163704921316e-06,2.162163792009639e-06,0.0,0.006815277777777778
7.136303985193441e-06,1.5399519188788343e-06,4.2098924002996036e-07,0.007302222222222222
3.5192006765701913e-06,1.2518727958888113e-06,2.788601039576768e-07,0.0077891666666666665
0.0,8.602023554388943e-07,0.0,0.00827611111111111
3.1069305279419868e-06,1.2805190833179185e-06,2.567168184121611e-07,0.008763055555555555
3.4125978404127066e-06,1.6292016827861088e-06,1.360898649336249e-07,0.009249722222222222
1.0363336068290083e-05,8.272589344065684e-07,4.1461770489442875e-07,0.00973638888888889
6.922955147623426e-06,8.183812386766552e-07,2.734455881246519e-07,0.010223055555555555
3.4439563859408965e-06,6.898524322019182e-07,2.766003021186194e-07,0.010709722222222223
1.0227920774160892e-05,1.6393537040467858e-06,1.3693945237751425e-07,0.011196666666666667
1.2923147550710155e-05,1.9744672883889976e-06,1.3194432259345363e-07,0.011683333333333334
1.094103634912395e-05,2.1676132586320092e-06,0.0,0.012169999999999999
0.0,1.4994659465719701e-06,1.3663963135392247e-07,0.012656666666666667
0.0,1.1006547263346727e-06,0.0,0.013143611111111111
6.932570447762716e-06,4.111394270180243e-07,0.0,0.013630555555555555
1.0987918044825346e-05,1.2967770900257137e-06,2.88861456449208e-07,0.014117222222222224
1.0945164820374496e-05,1.2935160253689193e-06,0.0,0.014603888888888888
3.3891269919525233e-06,8.172497347081677e-07,1.3653469804228808e-07,0.015090555555555555
1.0003333048226697e-05,1.0709911260997995e-06,4.025810611507763e-07,0.0155775
0.0,1.4045432056005804e-06,1.4078928223569554e-07,0.016064166666666668
0.0,1.6477300959968658e-06,1.3763888058176374e-07,0.016551111111111114
0.0,1.6800306598969881e-06,0.0,0.017038055555555556
1.0055226845015897e-05,1.0903617745224658e-06,1.366199878123438e-07,0.017525000000000002
0.0,1.3401743548886494e-06,1.3433668106745278e-07,0.018011666666666665
6.454959962274049e-06,9.268661654655536e-07,2.654509580483437e-07,0.018498333333333332
6.565969201184386e-06,1.0755429931101313e-06,2.695282198671395e-07,0.018985277777777775
3.2884896292171254e-06,8.095151588834926e-07,4.0572374994455085e-07,0.019471944444444444
1.0304510304438468e-05,6.931899797704987e-07,0.0,0.01995861111111111
0.0,6.756137540915778e-07,6.772328510207959e-07,0.020445555555555554
3.5001193573491127e-06,1.838632257859284e-06,0.0,0.02093222222222222
3.4592784336808223e-06,1.247730667185525e-06,5.558726299906704e-07,0.02141888888888889
3.5332400243350496e-06,1.8439274237757832e-06,1.421795949270814e-07,0.021905833333333336
6.492958100448103e-06,9.307680935284645e-07,3.9985298281435303e-07,0.0223925
0.0,1.2380210871652172e-06,1.3788613902612352e-07,0.022879166666666666
9.678158658290764e-06,7.963454029726109e-07,2.6608328664633814e-07,0.02336611111111111
3.3722652653355817e-06,4.111202360655483e-07,1.3736857371208697e-07,0.023853055555555554
3.3554501104771493e-06,8.170097194329276e-07,4.0948101648233276e-07,0.024339722222222224
0.0,6.872430273819699e-07,2.7555716690062525e-07,0.024826388888888887
6.70038003976381e-06,6.779091977353561e-07,1.359071998153971e-07,0.025313055555555554
9.413951474251107e-06,7.809276975192152e-07,2.6093095228195144e-07,0.0258
7.14991446240972e-06,5.701644019620882e-07,1.4287950585063723e-07,0.026286666666666667
0.0,9.72119443442412e-07,2.78411320665843e-07,0.026773611111111113
1.6180723986198138e-05,6.682957004819417e-07,4.0193430548570076e-07,0.02726027777777778
1.378244798482045e-05,6.95422899774358e-07,1.3941583625027849e-07,0.027746944444444442
6.729812614526872e-06,9.604947363384847e-07,2.750839131517234e-07,0.028233611111111112
3.5299093294077483e-06,7.115491152167431e-07,0.0,0.028720555555555558
9.79998422225628e-06,1.3500191905491964e-06,1.3532478100122306e-07,0.0292075
3.2126341027430726e-06,1.3357209006287547e-06,0.0,0.029694444444444447
3.193999550989893e-06,6.651441170882773e-07,5.333845473836902e-07,0.03018111111111111
3.590465563931879e-06,4.279839278567712e-07,2.8600376183304613e-07,0.030668055555555556
3.246583320727573e-06,1.0676820954588379e-06,0.0,0.031154722222222223
3.2979693659788344e-06,1.3589976399943909e-06,2.7244962429893957e-07,0.031641666666666665
3.5188607223677943e-06,1.275497427800005e-06,0.0,0.03212861111111111
3.4259990998810342e-06,9.751622546713853e-07,1.39641896421791e-07,0.03261527777777778
0.0,1.8036727604618033e-06,2.781480337176193e-07,0.03310222222222223
6.826992687234853e-06,1.3842831303901462e-06,1.387607654415482e-07,0.03358916666666667
3.3998952887385387e-06,9.780587252257805e-07,2.801107628510816e-07,0.03407611111111111
6.768039704391468e-06,8.246588947178866e-07,2.7554145411962823e-07,0.034562777777777776
0.0,1.1798142696220255e-06,1.478284928600637e-07,0.035049444444444446
6.7355305204288374e-06,1.2412568459017252e-06,0.0,0.03553638888888889
6.363751948505553e-06,9.253222484421753e-07,2.6501012646344116e-07,0.03602305555555555
3.374874302671644e-06,1.37282799283321e-06,0.0,0.03651027777777778
9.692929038864703e-06,9.256988172098751e-07,3.976795110276461e-07,0.03699694444444444
9.552121448324092e-06,9.239808182853392e-07,2.6462760243020464e-07,0.03748361111111111
1.589791033770118e-05,1.1906121027247162e-06,1.326069003047181e-07,0.03797055555555555
0.0,1.0900120074567547e-06,1.365774164250573e-07,0.03845722222222222
1.0333709367604586e-05,8.327954541904905e-07,0.0,0.03894388888888889
3.240259082346006e-06,6.580061283181685e-07,1.3191610255083127e-07,0.03943083333333333
6.63293440080054e-06,9.549169560411995e-07,4.1022938903313667e-07,0.0399175
0.0,8.273221120783833e-07,1.382162257243311e-07,0.04040416666666667
0.0,1.1024199457913497e-06,2.762623602131361e-07,0.040890833333333335
3.4120735852905523e-06,9.633397665893926e-07,2.758984097421131e-07,0.04137777777777778
6.702707699638347e-06,1.3779274878001256e-06,2.762437271530034e-07,0.04186444444444444
1.35906171066665e-05,1.3799696524661025e-06,0.0,0.04235111111111111
1.028251883006956e-05,4.201287283390817e-07,2.8075506292002026e-07,0.04283805555555556
0.0,5.37130785407976e-07,0.0,0.04332472222222222
